CodigoPersona,Clase,Entidad de depósito,Saldo medio anual o valor (euros)
44,Imposición en cuenta,Banco Popular,"85,810.32 €"
44,Imposición en cuenta,Banco Santander,"66,098.50 €"
45,Cuenta ahorro,ING,170.00 €
45,Cuenta corriente,Bankia,388.00 €
46,Cuenta corriente,Caixabank,"12,653.00 €"
47,Cuenta corriente,Deutsche Bank,"3,000.00 €"
48,Cuenta corriente,BBVA,346.82 €
48,Cuenta naranja,INGDirect,"1,595.02 €"
48,Cuenta corriente,Banco Santander,734.21 €
48,Cuenta corriente,ActivoBank,"8,426.57 €"
48,Depósito,Banco Popular (nuda propiedad),"110,000.00 €"
48,Cuenta,Renta 4,"3,943.12 €"
48,Cuenta corriente,CajaMar,"14,863.54 €"
48,Cuenta corriente,Bankia,611.75 €
48,Depósito,Bankia (nuda propiedad),"99,950.00 €"
49,Cuenta,BBVA,"16,526.00 €"
49,Cuenta,Triodos Bank,"1,976.94 €"
49,Depósito,Triodos Bank,"1,000.00 €"
50,Depósito,ING,"6,000.00 €"
51,Depósito,Bankia,"3,000.00 €"
51,Cuenta corriente,Bankia,"17,638.00 €"
52,Depósitos a la vista,Ibercaja (50%),"1,697.87 €"
52,Plan de ahorro,Ibercaja (50%),"3,233.49 €"
52,Cuenta corriente,Bankia (50%),"1,900.00 €"
52,Cuenta corriente,Caixabank (50%),"2,008.02 €"
52,Seguro ahorro,Caixabank (50%),"6,374.95 €"
53,Cuenta corriente,Banco Santander,"23,000.00 €"
54,Cuenta ahorro,ING,"15,000.00 €"
56,Cuenta corriente,Bankinter,"6,000.00 €"
56,Cuenta corriente,Bankinter,"8,000.00 €"
57,Depósito,Banco Caminos,"18,000.00 €"
57,Cuenta corriente,Banco Caminos,"8,000.00 €"
57,Cuenta corriente,Bankia,"2,800.00 €"
57,Cuenta corriente (50%),Banco Caminos,"7,000.00 €"
