CodigoPersona,Clase,Entidad de depósito,Saldo medio anual o valor (euros),,,,,,,,,,,,,,,,,,,,,,
29,Cuenta ahorro,Banco Santander,"1,359.57 €",,,,,,,,,,,,,,,,,,,,,,
30,Cuenta corriente,Caja de Ingenieros,"14,000.00 €",,,,,,,,,,,,,,,,,,,,,,
31,Cuenta corriente,BBVA,"26,502.00 €",,,,,,,,,,,,,,,,,,,,,,
32,Cuenta corriente ,ING Bank NY sucursal en España (50%),"53,784.18 €",,,,,,,,,,,,,,,,,,,,,,
32,Cuenta corriente ,ING Bank NY sucursal en España (50%),"2,850.08 €",,,,,,,,,,,,,,,,,,,,,,
32,Cuenta corriente ,BBVA (50%),"2,242.52 €",,,,,,,,,,,,,,,,,,,,,,
34,Cuenta corriente,Laboral Kutxa,"21,800.00 €",,,,,,,,,,,,,,,,,,,,,,
34,Cuenta corriente,Laboral Kutxa,"2,630.00 €",,,,,,,,,,,,,,,,,,,,,,
35,Libreta de Ahorro,Bankia,"51,492.09 €",,,,,,,,,,,,,,,,,,,,,,
35,Cuenta corriente,Bankinter,895.50 €,,,,,,,,,,,,,,,,,,,,,,
36,Imposición a plazo,Catalunya Bank,"69,000.00 €",,,,,,,,,,,,,,,,,,,,,,
36,Imposición a plazo,Deutsche Bank,"7,290.00 €",,,,,,,,,,,,,,,,,,,,,,
36,Fondo de inversión,Bankia,"1,633.00 €",,,,,,,,,,,,,,,,,,,,,,
36,Cuenta corriente,Banco Santander,"10,000.00 €",,,,,,,,,,,,,,,,,,,,,,
37,Libreta de ahorro,La Caixa,400.00 €,,,,,,,,,,,,,,,,,,,,,,
37,Cuenta corriente,BBV,100.00 €,,,,,,,,,,,,,,,,,,,,,,
38,Cuenta corriente,Kutxabank,"12,000.00 €",,,,,,,,,,,,,,,,,,,,,,
39,Cuenta corriente,Bankia,"2,864.72 €",,,,,,,,,,,,,,,,,,,,,,
39,Cartilla,La Caixa,140.00 €,,,,,,,,,,,,,,,,,,,,,,
39,Cuenta corriente,ING,700.00 €,,,,,,,,,,,,,,,,,,,,,,
40,Cuenta de ahorro,ING Direct,275.78 €,,,,,,,,,,,,,,,,,,,,,,
40,Cuenta corriente,ING Direct,245.53 €,,,,,,,,,,,,,,,,,,,,,,
40,Cuenta de ahorro,Bankia,617.14 €,,,,,,,,,,,,,,,,,,,,,,
41,Cuenta corriente,Triodos Bank,"1,000.00 €",,,,,,,,,,,,,,,,,,,,,,
42,Cuenta corriente,Santander,"5,000.00 €",,,,,,,,,,,,,,,,,,,,,,
42,Cuenta corriente,Santander,5.00 €,,,,,,,,,,,,,,,,,,,,,,
42,Cuenta corriente,Ibercaja,"1,000.00 €",,,,,,,,,,,,,,,,,,,,,,
42,Cuenta corriente,Ibercaja,500.00 €,,,,,,,,,,,,,,,,,,,,,,
42,Cuenta corriente,Bankia,"3,000.00 €",,,,,,,,,,,,,,,,,,,,,,
42,Cuenta corriente,Bankia,200.00 €,,,,,,,,,,,,,,,,,,,,,,
42,Cuenta de inversión,Self Trade Bank,"1,000.00 €",,,,,,,,,,,,,,,,,,,,,,
42,Cuenta inversión,Saxo Bank,"2,000.00 €",,,,,,,,,,,,,,,,,,,,,,
43,Cuenta corriente,Bankia,"6,068.00 €",,,,,,,,,,,,,,,,,,,,,,
43,Cuenta de ahorro,Bankia,308.00 €,,,,,,,,,,,,,,,,,,,,,,
44,Imposición en cuenta,Bankia,"15,400.00 €",,,,,,,,,,,,,,,,,,,,,,
44,Imposición en cuenta,Banco Sabadell,"20,000.00 €",,,,,,,,,,,,,,,,,,,,,,
44,Imposición en cuenta,Banco Popular,"80,000.00 €",,,,,,,,,,,,,,,,,,,,,,
44,Imposición en cuenta,Banco Santander,"54,800.00 €",,,,,,,,,,,,,,,,,,,,,,
45,Cuenta de ahorro,ING,400.00 €,,,,,,,,,,,,,,,,,,,,,,
46,Cuenta corriente,Caixa,"3,000.00 €",,,,,,,,,,,,,,,,,,,,,,
47,Cuenta corriente,Deutsche bank,"1,000.00 €",,,,,,,,,,,,,,,,,,,,,,
48,Cuenta corriente,BBVA,425.14 €,,,,,,,,,,,,,,,,,,,,,,
48,Cuenta naranja,ING Direct,"1,590.02 €",,,,,,,,,,,,,,,,,,,,,,
48,Cuenta corriente,Banco de Santander,"3,499.99 €",,,,,,,,,,,,,,,,,,,,,,
48,Cuenta corriente,Activo Bank,"30,046.88 €",,,,,,,,,,,,,,,,,,,,,,
48,Depósito (nuda propiedad),Banco Popular,"110,000.00 €",,,,,,,,,,,,,,,,,,,,,,
48,Cuenta,Renta 4,"1,891.32 €",,,,,,,,,,,,,,,,,,,,,,
48,Cuenta corriente,CajaMar,"3,681.21 €",,,,,,,,,,,,,,,,,,,,,,
48,Cuenta corriente,Bankia,"2,001.59 €",,,,,,,,,,,,,,,,,,,,,,
48,Depósito (nuda propiedad),Bankia,"99,950.00 €",,,,,,,,,,,,,,,,,,,,,,
49,Depósito,Triodos Bank,"1,000.00 €",,,,,,,,,,,,,,,,,,,,,,
49,Cuenta corriente,BBVA,"19,000.00 €",,,,,,,,,,,,,,,,,,,,,,
50,Depósito,ING,"5,000.00 €",,,,,,,,,,,,,,,,,,,,,,
51,Cuenta corriente,Bankia,100.00 €,,,,,,,,,,,,,,,,,,,,,,
51,Depósito,Bankia,"3,000.00 €",,,,,,,,,,,,,,,,,,,,,,
52,Depósito a la vista,Ibercaja (50%),"4,170.67 €",,,,,,,,,,,,,,,,,,,,,,
52,Depósito a plazo,Ibercaja (50%),"3,600.00 €",,,,,,,,,,,,,,,,,,,,,,
52,Plan de ahorro,Ibercaja (50%),498.60 €,,,,,,,,,,,,,,,,,,,,,,
52,Cuenta corriente,Bankia (50%),"2,613.05 €",,,,,,,,,,,,,,,,,,,,,,
52,Cuenta corriente,Bankia (50%),100.75 €,,,,,,,,,,,,,,,,,,,,,,
52,Cuenta a la vista,Caixa (50%),"2,836.53 €",,,,,,,,,,,,,,,,,,,,,,
52,Seguro de ahorro,Caixa (50%),"3,528.69 €",,,,,,,,,,,,,,,,,,,,,,
53,Cuenta corriente,Banco Santander,"18,000.00 €",,,,,,,,,,,,,,,,,,,,,,
54,Cuenta de ahorro,ING,"10,000.00 €",,,,,,,,,,,,,,,,,,,,,,
56,Cuenta corriente,Bankinter,"1,504.00 €",,,,,,,,,,,,,,,,,,,,,,
56,Cuenta corriente,Bankinter,"1,439.50 €",,,,,,,,,,,,,,,,,,,,,,
57,,Banco Caminos,"3,000.00 €",,,,,,,,,,,,,,,,,,,,,,
57,,Banco Caminos,"3,000.00 €",,,,,,,,,,,,,,,,,,,,,,
57,,Bankia,"1,000.00 €",,,,,,,,,,,,,,,,,,,,,,
58,Cuenta Corriente,Bankia,"10,771.85 €",,,,,,,,,,,,,,,,,,,,,,Inicial
58,Cuenta Corriente,BBVA,148.35 €,,,,,,,,,,,,,,,,,,,,,,Final
58,Cuenta Corriente,Deutsche Bank,293.11 €,,,,,,,,,,,,,,,,,,,,,,Modificación
58,Cuenta Corriente,Banco Santander,150.00 €,,,,,,,,,,,,,,,,,,,,,,
59,Ahorro,Banco Sabadell,"2,000.00 €",,,,,,,,,,,,,,,,,,,,,,Inicial
59,Corriente,Banco Sabadell,0.00 €,,,,,,,,,,,,,,,,,,,,,,Final
59,Ahorro,ING DIRECT (50%),"2,900.00 €",,,,,,,,,,,,,,,,,,,,,,Modificación
59,Ahorro,ING DIRECT (100%),400.00 €,,,,,,,,,,,,,,,,,,,,,,
60,Cuenta de Ahorros,ING DIRECT,"19,000.00 €",,,,,,,,,,,,,,,,,,,,,,Inicial
60,Cuenta de Ahorros,BBVA Colombia,"1,000.00 €",,,,,,,,,,,,,,,,,,,,,,Final
61,CUENTA CORRIENTE,ING DIRECT,749.25 €,,,,,,,,,,,,,,,,,,,,,,
61,CUENTA CORRIENTE,ING DIRECT (Compartida),431.28 €,,,,,,,,,,,,,,,,,,,,,,
61,CUENTA AHORRO,ING DIRECT,"8,437.09 €",,,,,,,,,,,,,,,,,,,,,,
