CodigoPersona;Clase;Entidad de depósito;Saldo medio anual o valor (euros);
52;Cuenta corriente;Caixabank (50%);2008,02;
52;Seguro ahorro;Caixabank (50%);6374,95;
53;Cuenta corriente;Banco Santander;23000;
54;Cuenta ahorro;ING;15000;
56;Cuenta corriente;Bankinter;6000;
56;Cuenta corriente;Bankinter;8000;
57;Depósito;Banco Caminos;18000;
57;Cuenta corriente;Banco Caminos;8000;
57;Cuenta corriente;Bankia;2800;
57;Cuenta corriente (50%);Banco Caminos;7000;
